,mean,std
328,0.622,0.04284857057125708
329,0.631,0.04592385001282013
330,0.6250000000000001,0.050049975024968774
331,0.621,0.04742362280551749
332,0.621,0.05028916384272065
333,0.6199999999999999,0.04690415759823428
334,0.618,0.049558046773455475
335,0.6190000000000001,0.05243090691567331
336,0.6140000000000001,0.050833060108555345
337,0.61,0.04404543109109047
338,0.617,0.04405678154382137
339,0.6160000000000001,0.04317406628984586
340,0.611,0.0398622628559895
341,0.603,0.04605431575867782
342,0.603,0.044732538492690085
343,0.608,0.04874423042781576
344,0.6130000000000001,0.05950630218724736
345,0.609,0.05838664230798002
346,0.6159999999999999,0.05161395160225578
347,0.624,0.04694677837722202
348,0.627,0.041000000000000016
349,0.6199999999999999,0.03521363372331802
350,0.623,0.03661966684720112
351,0.6279999999999999,0.038935844667863574
352,0.6289999999999998,0.038065732621348554
353,0.631,0.03935733730830886
354,0.6400000000000001,0.037148351242013475
355,0.635,0.040558599581346534
356,0.634,0.03200000000000003
357,0.6369999999999999,0.03163858403911279
358,0.6380000000000001,0.039698866482558465
359,0.637,0.03689173349139345
360,0.634,0.03527038417709679
361,0.6380000000000001,0.04874423042781575
362,0.641,0.05374941860150678
363,0.638,0.05381449618829487
364,0.6300000000000001,0.052725705305856276
365,0.635,0.04759201613716314
366,0.627,0.05197114584074514
367,0.625,0.04759201613716319
368,0.6290000000000001,0.050685303589896744
369,0.6300000000000001,0.053478967828483714
370,0.6310000000000001,0.05300000000000002
371,0.6290000000000001,0.05393514624064725
372,0.6279999999999999,0.05230678732248813
373,0.627,0.04900000000000002
374,0.625,0.051816985632126444
375,0.638,0.054552726787943435
376,0.6290000000000001,0.05166236541235797
377,0.6270000000000001,0.057801384066473706
378,0.6270000000000001,0.05640035460881431
379,0.632,0.05211525688318153
380,0.6329999999999999,0.06372597586541932
381,0.6400000000000001,0.05366563145999494
382,0.6329999999999999,0.06181423784210238
383,0.632,0.06368673331236265
384,0.6380000000000001,0.06273754856543251
385,0.6379999999999999,0.06321392251711647
386,0.643,0.06542935121182236
387,0.6439999999999999,0.060365553091146294
388,0.6469999999999999,0.05984145720150872
389,0.651,0.06363175307973212
390,0.6520000000000001,0.05546169849544822
391,0.6580000000000001,0.054735728733616054
392,0.653,0.051584881506115725
393,0.6540000000000001,0.04270831300812527
394,0.6500000000000001,0.047958315233127206
395,0.646,0.048414873747640814
396,0.656,0.04820788317277581
397,0.6529999999999999,0.04899999999999999
398,0.647,0.04605431575867782
399,0.646,0.052383203414835225
400,0.647,0.05568662316930343
401,0.639,0.05717516943569123
402,0.6439999999999999,0.05748043145279968
403,0.649,0.057523908073078625
404,0.649,0.05521775076911407
405,0.642,0.0337045990927054
406,0.643,0.02794637722496422
407,0.6399999999999999,0.024494897427831737
408,0.631,0.03505709628591619
409,0.623,0.03195309061734089
410,0.625,0.03201562118716425
411,0.6200000000000001,0.030000000000000006
412,0.627,0.03522782990761712
413,0.627,0.036619666847201096
414,0.6300000000000001,0.03768288736283356
415,0.629,0.050289163842720676
416,0.627,0.05254521862167862
417,0.632,0.04770744176750624
418,0.6279999999999999,0.05173006862551024
419,0.628,0.05153639490690054
420,0.636,0.05219195340279957
421,0.631,0.04908156476723212
422,0.632,0.04975942121849891
423,0.6289999999999999,0.05752390807307864
424,0.624,0.05535341001239214
425,0.626,0.049030602688525056
426,0.6220000000000001,0.04874423042781576
427,0.623,0.047968739820845846
428,0.6229999999999999,0.03848376280978774
429,0.6280000000000001,0.047286361670147624
430,0.6250000000000001,0.04455333881989097
431,0.626,0.04127953488110059
432,0.624,0.03411744421846395
433,0.6230000000000001,0.03634556369077252
434,0.617,0.03634556369077253
435,0.621,0.03832753579347361
436,0.6140000000000001,0.04386342439892265
437,0.613,0.04517742799230609
438,0.616,0.049234134500364686
